127.0.0.1 - - [11/Oct/2022:14:57:41 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:57:42 +0900] "GET /practice01/ HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:57:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:57:50 +0900] "GET /practice01/ HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:00:38 +0900] "GET /practice01/ HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:01:05 +0900] "GET /practice01/ HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:01:09 +0900] "GET /practice01/ HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:01:12 +0900] "GET /practice01/ HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:01:48 +0900] "GET /practice01/ HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:01:52 +0900] "GET /practice01/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:21 +0900] "GET /practice01/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:28 +0900] "GET /practice01/ HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:29 +0900] "GET /practice01/ HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:32 +0900] "GET /practice01/ HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:37 +0900] "GET /practice01/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:41 +0900] "GET /practice01/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:42 +0900] "GET /practice01/ HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:02:48 +0900] "GET /practice01/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:03:22 +0900] "GET /practice01/ HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:03:23 +0900] "GET /practice01/ HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:03:30 +0900] "GET /practice01/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:09:27 +0900] "GET /practice01/ HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:09:53 +0900] "GET /practice01/ HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:11:58 +0900] "GET /practice01/ HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:11:59 +0900] "GET /practice01/test01.jsp?id=ahj&1234 HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:15:16 +0900] "GET /practice01/ HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:15:18 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:16:49 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:16:50 +0900] "GET /practice01/test01.jsp?id=ahj&pw=1234&name=%EC%95%88%ED%9A%A8%EC%A4%80 HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:16:52 +0900] "GET /practice01/ HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:16:52 +0900] "GET /practice01/ HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:17:03 +0900] "GET /practice01/ HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:17:48 +0900] "GET /practice01/ HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:17:48 +0900] "GET /practice01/ HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:17:54 +0900] "GET /practice01/ HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:17:55 +0900] "GET /practice01/ HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:21:50 +0900] "GET /practice01/ HTTP/1.1" 500 2660
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:22:07 +0900] "GET /practice01/ HTTP/1.1" 500 2660
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:22:08 +0900] "GET /practice01/ HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:22:31 +0900] "GET /practice01/ HTTP/1.1" 500 2660
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:24:43 +0900] "GET /practice01/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:24:45 +0900] "GET /practice01/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:24:46 +0900] "GET /practice01/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:24:47 +0900] "GET /practice01/ HTTP/1.1" 200 730
